factor_id,factor_name,inferred_granular_traits
Factor_0,Puzzle-Driven Storytelling and Unexpected Turns,"mystery plot; clue density; red herrings; twist ending; reveal timing; unreliable narrator; nonlinear disclosure"
Factor_1,Childlike Wonder / Family-Friendliness,"child protagonists; playful tone; low violence; friendship focus; imagination motifs; moral lessons; family-safe humor"
Factor_2,Inner Turmoil and Emotional Struggle,"psychological distress; grief themes; trauma cues; introspective dialogue; character vulnerability; emotional volatility; catharsis arc"
Factor_3,Documentary-style Storytelling,"interview segments; voice-over exposition; archival footage; handheld realism; testimony structure; informational pacing; observational scenes"
Factor_4,Avant-Garde,"experimental editing; abstract symbolism; nontraditional narrative; stylized framing; ambiguous meaning; formal innovation; low conventional closure"
Factor_5,"Comedy, Humor, and Social Satire","jokes per minute; satire intensity; absurd scenarios; ironic tone; social critique; comic timing; parody elements"
Factor_6,Romantic Courtship / Relationship Drama,"romantic tension; courtship scenes; relationship conflict; emotional intimacy; breakup/reunion beats; chemistry focus; sentimental resolution"
Factor_7,Triumph Over Adversity,"underdog setup; obstacle severity; resilience behavior; growth milestones; perseverance language; comeback structure; inspirational ending"
Factor_8,Futuristic Science and Technology,"future setting; advanced devices; speculative science; AI/robotics motifs; tech-driven conflict; worldbuilding detail; innovation ethics"
Factor_9,War and Political History,"battle depictions; military context; political institutions; historical events; diplomacy/conflict themes; period references; geopolitical stakes"
Factor_10,Music and Performance as Storytelling,"song performance frequency; dance sequences; stage scenes; music-driven transitions; rehearsal arcs; performer identity; lyrical exposition"
Factor_11,Adrenaline-Fueled Action and Heroic Combat,"fight choreography; chase frequency; explosion intensity; stunt density; hero-villain confrontation; mission stakes; kinetic pacing"
Factor_12,Magical World / Mythic Adventure,"magic systems; mythical creatures; quest structure; enchanted settings; supernatural rules; prophecy motifs; heroic fantasy tropes"
Factor_13,Growing Up and Coming of Age,"adolescent protagonist; identity exploration; peer dynamics; first-love cues; rite-of-passage events; maturity decisions; generational conflict"
Factor_14,"Justice, Law, and Criminal Investigation","crime-solving scenes; evidence analysis; courtroom proceedings; interrogation beats; procedural detail; legal ethics; verdict resolution"
Factor_15,Family Bonds and Parent-Child Relationships,"parent-child dialogue; sibling dynamics; caregiving burden; family conflict; reconciliation moments; home-setting focus; generational themes"
Factor_16,East Asian Cultural Setting,"East Asian locations; language markers; regional customs; local social norms; cultural symbolism; historical context; non-Western framing"
Factor_17,Sexual Themes,"sexual content level; erotic tension; intimacy scenes; taboo themes; sexual humor; desire-driven conflict; consequence framing"
Factor_18,Portrait of Extraordinary Life,"biographical scope; life milestones; public achievement; personal sacrifice; legacy framing; period progression; notable-figure focus"
Factor_19,"Greed, Ambition, and Financial Crime","money-motive salience; fraud schemes; status pursuit; corporate/political corruption; risk-taking behavior; moral compromise; rise-and-fall arc"
Factor_20,Female Perspective and Empowerment,"female lead centrality; women-centered relationships; agency decisions; gender barriers; empowerment outcomes; solidarity cues; perspective framing"
Factor_21,Fear and Psychological Horror,"dread atmosphere; suspense buildup; jump-scare cues; threat ambiguity; disturbing imagery; paranoia motifs; fear-driven pacing"
Factor_22,Classic Hollywood Era Style,"period production design; black-and-white aesthetic; old-Hollywood dialogue cadence; studio-era genre cues; vintage cinematography; classic score style"
Factor_23,Nature's Majesty and Peril,"landscape prominence; wildlife encounters; survival challenges; environmental hazards; scenic cinematography; expedition framing; nature-as-force theme"
Factor_24,Black Identity & Experience,"Black protagonist centrality; race-related conflict; cultural identity themes; community context; discrimination cues; social justice framing"
Factor_25,Faith and Spiritual Awakening,"religious practice scenes; moral reflection; spiritual crisis; redemption motifs; clergy/religious institutions; belief transformation; ritual symbols"
Factor_26,Showmanship and Staged Spectacle,"stagecraft emphasis; performance reveal moments; audience-reaction shots; spectacle choreography; illusion/show motifs; dramatic presentation"
Factor_27,LGBTQ+ Identity and Relationships,"LGBTQ+ lead representation; identity disclosure; queer relationship arcs; social acceptance conflict; community belonging; stigma navigation"
Factor_28,Latino Cultural Perspective,"Latino characters centrality; Hispanic cultural traditions; bilingual dialogue markers; family/community context; migration/identity themes; regional setting cues"
Factor_29,Competitive Sports,"game/match frequency; training montage; team dynamics; coach-athlete conflict; rivalry intensity; tournament stakes; performance pressure"